job_id,job_title,salary_usd,salary_currency,salary_local,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,remote_label,days_open,salary_bracket
AI00028,AI Architect,246647,SGD,320641,Executive,Part-Time,Singapore,Medium,Singapore,50,"Scala, Mathematics, SQL",Master,16,Telecommunications,2024-08-08,2024-08-26,2347,6.6,DeepTech Ventures,Hybrid,18,> 150K
AI00029,Deep Learning Engineer,29050,USD,29050,Junior,Full-Time,China,Small,Germany,0,"PyTorch, Kubernetes, Deep Learning, Hadoop",Associate,1,Consulting,2025-02-06,2025-03-19,555,5.2,AI Innovations,On-Site,41,< 60K
AI00030,Head of AI,120599,GBP,90449,Mid,Contract,United Kingdom,Large,United Kingdom,50,"Linux, AWS, Python",Master,4,Energy,2024-09-21,2024-11-07,699,6.4,Quantum Computing Inc,Hybrid,47,100K-150K
AI00031,AI Specialist,277727,SGD,361045,Executive,Part-Time,Singapore,Large,Singapore,50,"Python, Git, TensorFlow",Associate,13,Healthcare,2024-10-04,2024-11-05,529,9.0,Future Systems,Hybrid,32,> 150K
AI00032,Data Engineer,158734,CAD,198418,Executive,Part-Time,Canada,Small,South Korea,50,"Data Visualization, NLP, Computer Vision",Master,16,Retail,2024-05-20,2024-07-29,1607,6.2,Future Systems,Hybrid,70,> 150K
AI00033,Data Engineer,139438,JPY,15338180,Senior,Freelance,Japan,Large,Japan,0,"Python, Spark, Git, Data Visualization, Docker",PhD,9,Retail,2025-03-16,2025-05-12,1826,9.9,Cognitive Computing,On-Site,57,100K-150K
AI00034,Head of AI,131432,SGD,170862,Senior,Part-Time,Singapore,Medium,Sweden,50,"Kubernetes, Data Visualization, Deep Learning, Azure, Computer Vision",Master,5,Manufacturing,2024-05-03,2024-07-15,1134,5.3,Cognitive Computing,Hybrid,73,100K-150K
AI00035,Data Analyst,140290,USD,140290,Mid,Part-Time,Denmark,Large,Denmark,50,"PyTorch, SQL, R, Azure",Associate,4,Real Estate,2024-07-18,2024-09-26,2437,5.7,DeepTech Ventures,Hybrid,70,100K-150K
AI00036,Research Scientist,90858,EUR,77229,Mid,Contract,France,Large,France,50,"Scala, PyTorch, Deep Learning, Kubernetes, Java",Bachelor,2,Real Estate,2024-08-13,2024-09-13,1793,7.1,DataVision Ltd,Hybrid,31,60K-100K
AI00037,Autonomous Systems Engineer,126597,GBP,94948,Senior,Freelance,United Kingdom,Large,Singapore,50,"PyTorch, Java, TensorFlow, Computer Vision, SQL",Master,6,Government,2024-03-30,2024-04-13,2236,7.8,Machine Intelligence Group,Hybrid,14,100K-150K
AI00038,AI Architect,53274,USD,53274,Junior,Freelance,Finland,Medium,Finland,100,"Spark, Python, Statistics, Hadoop, TensorFlow",Associate,0,Automotive,2025-03-22,2025-04-12,1444,6.0,Autonomous Tech,Remote,21,< 60K
AI00039,Machine Learning Researcher,155357,USD,155357,Executive,Freelance,Sweden,Small,France,100,"TensorFlow, SQL, Computer Vision, Kubernetes",Bachelor,17,Real Estate,2024-12-11,2025-01-01,830,5.2,Cloud AI Solutions,Remote,21,> 150K
AI00040,Principal Data Scientist,116292,EUR,98848,Mid,Freelance,Netherlands,Medium,Hungary,50,"Java, Docker, Python",Bachelor,4,Gaming,2024-07-28,2024-09-06,2404,7.9,Quantum Computing Inc,Hybrid,40,100K-150K
AI00041,Computer Vision Engineer,140363,EUR,119309,Senior,Contract,Austria,Large,Austria,100,"MLOps, Hadoop, TensorFlow, Kubernetes",Master,6,Manufacturing,2025-01-31,2025-04-06,1852,9.8,TechCorp Inc,Remote,65,100K-150K
AI00042,Research Scientist,162306,USD,162306,Senior,Contract,Israel,Large,Luxembourg,0,"Statistics, SQL, Tableau, Hadoop, R",Master,9,Energy,2024-11-12,2024-12-08,1066,5.6,Neural Networks Co,On-Site,26,> 150K
AI00043,Data Analyst,134224,USD,134224,Executive,Full-Time,China,Large,China,0,"Python, SQL, Git",Master,16,Technology,2024-10-13,2024-11-15,1743,6.6,Quantum Computing Inc,On-Site,33,100K-150K
AI00044,Research Scientist,77500,GBP,58125,Mid,Contract,United Kingdom,Small,Norway,0,"Mathematics, Hadoop, TensorFlow",PhD,3,Technology,2024-08-20,2024-10-29,811,10.0,Machine Intelligence Group,On-Site,70,60K-100K
AI00045,Computer Vision Engineer,154083,USD,154083,Senior,Part-Time,Ireland,Large,Ireland,50,"Hadoop, Python, Deep Learning",Associate,7,Manufacturing,2024-01-09,2024-02-16,1969,7.7,Neural Networks Co,Hybrid,38,> 150K
AI00046,Machine Learning Engineer,79445,USD,79445,Mid,Freelance,Ireland,Medium,Ireland,50,"Python, Statistics, TensorFlow, Computer Vision",Bachelor,4,Real Estate,2024-09-28,2024-10-16,511,7.2,Cloud AI Solutions,Hybrid,18,60K-100K
AI00047,Head of AI,157466,CHF,141719,Senior,Freelance,Switzerland,Medium,Switzerland,100,"Git, Data Visualization, Spark, Computer Vision, Azure",Associate,8,Automotive,2024-01-21,2024-03-03,547,5.2,Future Systems,Remote,42,> 150K
AI00048,Head of AI,38972,USD,38972,Mid,Full-Time,India,Large,India,0,"Kubernetes, Mathematics, TensorFlow, MLOps",PhD,4,Real Estate,2024-01-28,2024-03-09,2163,7.1,AI Innovations,On-Site,41,< 60K
AI00049,Deep Learning Engineer,66090,CAD,82613,Mid,Part-Time,Canada,Small,Canada,0,"AWS, SQL, R, Scala",PhD,3,Technology,2025-04-10,2025-04-29,1901,5.3,DeepTech Ventures,On-Site,19,60K-100K
AI00050,Data Analyst,47943,USD,47943,Mid,Part-Time,China,Large,China,50,"TensorFlow, Mathematics, NLP, Docker",PhD,2,Finance,2024-11-23,2025-01-13,2483,6.2,Smart Analytics,Hybrid,51,< 60K
AI00051,ML Ops Engineer,217318,USD,217318,Executive,Part-Time,Ireland,Medium,Malaysia,100,"SQL, PyTorch, Hadoop",Bachelor,17,Finance,2024-11-14,2024-12-22,1647,7.8,Cognitive Computing,Remote,38,> 150K
AI00052,AI Architect,84705,USD,84705,Mid,Contract,Norway,Small,Norway,50,"Scala, Spark, PyTorch",PhD,3,Government,2024-12-19,2025-01-11,879,6.6,Autonomous Tech,Hybrid,23,60K-100K
AI00053,NLP Engineer,36076,USD,36076,Senior,Full-Time,India,Medium,India,50,"Python, TensorFlow, Data Visualization",Master,7,Media,2024-08-14,2024-09-23,580,7.5,Cognitive Computing,Hybrid,40,< 60K
AI00054,AI Consultant,160216,USD,160216,Executive,Full-Time,Israel,Large,Israel,100,"Deep Learning, Linux, Python, SQL",Master,15,Education,2024-05-09,2024-05-29,941,6.0,Predictive Systems,Remote,20,> 150K
AI00055,Deep Learning Engineer,60826,GBP,45620,Junior,Full-Time,United Kingdom,Small,United Kingdom,0,"SQL, Kubernetes, Azure",Bachelor,0,Energy,2024-11-02,2024-11-30,1731,6.3,Autonomous Tech,On-Site,28,60K-100K
AI00056,Deep Learning Engineer,237320,GBP,177990,Executive,Part-Time,United Kingdom,Medium,United Kingdom,0,"Kubernetes, MLOps, Scala",Bachelor,16,Real Estate,2024-11-12,2024-12-28,991,7.7,DataVision Ltd,On-Site,46,> 150K
AI00057,Robotics Engineer,60243,EUR,51207,Junior,Freelance,France,Medium,France,100,"Scala, PyTorch, Data Visualization, Linux, Mathematics",Master,1,Healthcare,2024-12-05,2024-12-20,1661,8.8,Future Systems,Remote,15,60K-100K
AI00058,Head of AI,74091,JPY,8150010,Junior,Part-Time,Japan,Medium,Japan,50,"Deep Learning, NLP, R, Linux, SQL",Bachelor,1,Consulting,2025-01-18,2025-03-23,1295,7.2,Quantum Computing Inc,Hybrid,64,60K-100K
AI00059,AI Specialist,68535,EUR,58255,Junior,Full-Time,France,Large,France,100,"SQL, Scala, PyTorch",Associate,1,Media,2024-05-01,2024-06-17,1943,5.5,Machine Intelligence Group,Remote,47,60K-100K
AI00060,Robotics Engineer,99401,USD,99401,Mid,Freelance,Norway,Small,Norway,50,"Hadoop, Kubernetes, Data Visualization, Python, Linux",Bachelor,3,Healthcare,2024-03-20,2024-04-20,1371,9.4,Quantum Computing Inc,Hybrid,31,60K-100K
AI00061,Machine Learning Researcher,67632,USD,67632,Junior,Full-Time,Ireland,Large,Ireland,0,"Linux, GCP, Deep Learning",Master,0,Government,2024-07-13,2024-08-10,2133,8.9,Advanced Robotics,On-Site,28,60K-100K
AI00062,ML Ops Engineer,133163,EUR,113189,Senior,Contract,Netherlands,Medium,Netherlands,0,"SQL, Statistics, MLOps, PyTorch, Kubernetes",Associate,6,Media,2025-01-03,2025-01-21,2141,7.9,Neural Networks Co,On-Site,18,100K-150K
AI00063,Robotics Engineer,125752,USD,125752,Mid,Full-Time,Norway,Small,Norway,0,"NLP, Statistics, Scala",Master,4,Automotive,2024-05-17,2024-06-24,2390,6.0,Machine Intelligence Group,On-Site,38,100K-150K
AI00064,AI Product Manager,70927,JPY,7801970,Junior,Contract,Japan,Medium,Japan,0,"Git, Computer Vision, Docker, SQL, Hadoop",Associate,1,Technology,2024-03-07,2024-04-05,1847,9.3,Quantum Computing Inc,On-Site,29,60K-100K
AI00065,Data Engineer,80810,GBP,60608,Junior,Part-Time,United Kingdom,Large,United Kingdom,0,"Azure, MLOps, Python, Linux, TensorFlow",Master,1,Energy,2024-10-30,2025-01-01,1476,5.4,Algorithmic Solutions,On-Site,63,60K-100K
AI00066,Machine Learning Engineer,59614,SGD,77498,Junior,Contract,Singapore,Small,Singapore,100,"Java, Kubernetes, GCP, Linux, Data Visualization",Associate,1,Healthcare,2024-11-07,2024-12-19,1581,7.3,Quantum Computing Inc,Remote,42,< 60K
AI00067,Robotics Engineer,151907,EUR,129121,Executive,Full-Time,Germany,Small,Ghana,50,"Python, R, MLOps",Associate,16,Media,2024-09-21,2024-10-16,1433,6.1,Quantum Computing Inc,Hybrid,25,> 150K
AI00068,Data Scientist,76317,USD,76317,Executive,Contract,India,Medium,India,0,"TensorFlow, Deep Learning, Spark",Bachelor,14,Energy,2024-06-19,2024-07-15,1228,9.1,DataVision Ltd,On-Site,26,60K-100K
AI00069,AI Research Scientist,160534,USD,160534,Senior,Freelance,Denmark,Medium,Denmark,100,"GCP, SQL, MLOps",Master,9,Gaming,2024-06-10,2024-07-07,1651,8.3,Advanced Robotics,Remote,27,> 150K
AI00070,AI Consultant,40687,USD,40687,Mid,Full-Time,India,Large,India,50,"SQL, R, GCP, PyTorch, AWS",Master,3,Transportation,2024-07-16,2024-08-25,804,7.3,Algorithmic Solutions,Hybrid,40,< 60K
AI00071,Computer Vision Engineer,129265,AUD,174508,Senior,Freelance,Australia,Small,Australia,0,"Java, Scala, TensorFlow",Master,5,Consulting,2025-04-06,2025-05-07,2410,6.9,DataVision Ltd,On-Site,31,100K-150K
AI00072,NLP Engineer,94396,USD,94396,Executive,Part-Time,China,Medium,China,100,"Scala, Python, Tableau, Mathematics",Master,18,Government,2024-07-30,2024-08-18,1033,9.5,Advanced Robotics,Remote,19,60K-100K
AI00073,NLP Engineer,158237,USD,158237,Executive,Contract,South Korea,Large,South Korea,0,"Python, NLP, GCP",Master,11,Finance,2025-01-24,2025-03-29,1676,6.0,Quantum Computing Inc,On-Site,64,> 150K
AI00074,Robotics Engineer,239068,USD,239068,Executive,Part-Time,Denmark,Large,Denmark,50,"TensorFlow, Java, NLP, Hadoop, GCP",PhD,18,Media,2024-08-26,2024-10-30,1321,6.8,Autonomous Tech,Hybrid,65,> 150K
AI00075,Robotics Engineer,81401,USD,81401,Mid,Freelance,Finland,Medium,Belgium,0,"Java, Spark, Data Visualization, AWS, Git",Associate,2,Retail,2025-02-07,2025-04-11,1930,6.3,Future Systems,On-Site,63,60K-100K
AI00076,AI Specialist,144229,CHF,129806,Mid,Full-Time,Switzerland,Medium,Japan,0,"Python, TensorFlow, MLOps, PyTorch",PhD,2,Media,2024-01-02,2024-03-02,1213,9.5,DeepTech Ventures,On-Site,60,100K-150K
AI00077,AI Consultant,78936,EUR,67096,Mid,Freelance,Germany,Small,Germany,0,"Mathematics, Tableau, R, NLP, SQL",Bachelor,4,Consulting,2024-11-30,2025-01-03,697,6.9,Cloud AI Solutions,On-Site,34,60K-100K
AI00078,AI Consultant,101054,USD,101054,Senior,Part-Time,South Korea,Large,United Kingdom,0,"PyTorch, Python, TensorFlow",Bachelor,6,Healthcare,2025-02-04,2025-03-20,2396,8.8,DeepTech Ventures,On-Site,44,100K-150K
AI00079,AI Specialist,91807,EUR,78036,Senior,Full-Time,Austria,Small,Austria,50,"Linux, Azure, Scala, Python",Master,9,Education,2024-07-21,2024-09-13,1519,8.3,TechCorp Inc,Hybrid,54,60K-100K
AI00080,Machine Learning Engineer,49858,EUR,42379,Junior,Contract,Austria,Small,Singapore,100,"PyTorch, Spark, Linux",Bachelor,1,Healthcare,2024-01-25,2024-04-02,1215,9.2,AI Innovations,Remote,68,< 60K
AI00081,Robotics Engineer,80596,EUR,68507,Junior,Full-Time,Austria,Large,Switzerland,0,"Kubernetes, Scala, PyTorch, Mathematics",Master,1,Education,2024-06-27,2024-08-26,1512,6.8,Digital Transformation LLC,On-Site,60,60K-100K
AI00082,Head of AI,76026,USD,76026,Mid,Full-Time,Sweden,Medium,Sweden,50,"Tableau, SQL, R, Scala",PhD,4,Healthcare,2025-02-12,2025-03-24,1079,8.0,Predictive Systems,Hybrid,40,60K-100K
AI00083,Deep Learning Engineer,84841,USD,84841,Mid,Contract,Sweden,Large,Sweden,0,"Azure, Linux, TensorFlow, GCP",Associate,4,Transportation,2024-11-18,2025-01-05,2456,5.7,Cognitive Computing,On-Site,48,60K-100K
AI00084,Data Scientist,158900,CHF,143010,Senior,Freelance,Switzerland,Medium,Switzerland,50,"Python, Statistics, Mathematics, Docker, TensorFlow",Associate,8,Finance,2024-06-14,2024-07-05,2367,6.0,Quantum Computing Inc,Hybrid,21,> 150K
AI00085,Autonomous Systems Engineer,153858,EUR,130779,Executive,Contract,Germany,Small,Germany,50,"MLOps, Azure, Java",Master,13,Gaming,2025-04-29,2025-06-21,2133,5.1,Cloud AI Solutions,Hybrid,53,> 150K
AI00086,Data Scientist,115314,USD,115314,Mid,Contract,Denmark,Medium,Finland,0,"Java, Git, R, Azure",Bachelor,3,Real Estate,2024-06-01,2024-06-27,1783,7.9,Smart Analytics,On-Site,26,100K-150K
AI00087,Machine Learning Engineer,181068,USD,181068,Executive,Full-Time,Israel,Small,Israel,100,"R, Java, Hadoop, Mathematics",PhD,13,Transportation,2024-01-26,2024-03-25,1322,8.5,Machine Intelligence Group,Remote,59,> 150K
AI00088,AI Software Engineer,119021,USD,119021,Junior,Full-Time,Denmark,Large,Portugal,0,"Computer Vision, Docker, Linux, GCP",PhD,1,Transportation,2025-03-07,2025-05-10,1461,7.3,DataVision Ltd,On-Site,64,100K-150K
AI00089,Data Analyst,219746,USD,219746,Executive,Freelance,Israel,Medium,Czech Republic,100,"R, Python, Scala, TensorFlow",PhD,15,Finance,2024-07-02,2024-09-12,1485,7.0,Smart Analytics,Remote,72,> 150K
AI00090,AI Consultant,115774,USD,115774,Executive,Freelance,China,Large,China,50,"Hadoop, Scala, NLP, PyTorch, SQL",Associate,10,Real Estate,2024-02-04,2024-03-09,1618,5.3,DataVision Ltd,Hybrid,34,100K-150K
AI00091,AI Consultant,130984,CHF,117886,Junior,Part-Time,Switzerland,Large,Philippines,50,"MLOps, Deep Learning, Kubernetes, Azure, GCP",Bachelor,1,Retail,2024-01-08,2024-03-20,1774,5.3,DataVision Ltd,Hybrid,72,100K-150K
AI00092,ML Ops Engineer,191223,CHF,172101,Executive,Full-Time,Switzerland,Small,Germany,0,"NLP, Azure, SQL",PhD,18,Healthcare,2024-04-07,2024-06-07,1926,6.8,Neural Networks Co,On-Site,61,> 150K
AI00093,AI Consultant,155502,USD,155502,Senior,Full-Time,Norway,Medium,Italy,50,"Python, NLP, AWS, Spark",PhD,9,Consulting,2025-01-29,2025-02-22,2449,7.6,Future Systems,Hybrid,24,> 150K
AI00094,AI Specialist,86140,EUR,73219,Mid,Part-Time,Germany,Large,South Korea,50,"Scala, Kubernetes, Deep Learning, AWS",Master,4,Real Estate,2025-03-11,2025-04-12,1816,7.3,Predictive Systems,Hybrid,32,60K-100K
AI00095,AI Architect,96028,GBP,72021,Mid,Freelance,United Kingdom,Large,Australia,0,"Data Visualization, MLOps, GCP, PyTorch",Bachelor,4,Healthcare,2025-03-09,2025-03-28,1878,6.6,Future Systems,On-Site,19,60K-100K
AI00096,Principal Data Scientist,134920,USD,134920,Senior,Part-Time,United States,Small,United States,0,"SQL, Mathematics, Data Visualization, Kubernetes",Associate,7,Consulting,2025-04-03,2025-05-12,1930,6.7,Predictive Systems,On-Site,39,100K-150K
AI00097,Research Scientist,107694,USD,107694,Senior,Freelance,Ireland,Medium,Estonia,50,"Spark, Linux, MLOps, R",Associate,5,Retail,2024-03-20,2024-04-22,2292,5.1,Future Systems,Hybrid,33,100K-150K
AI00098,Deep Learning Engineer,114301,USD,114301,Mid,Full-Time,Finland,Large,Finland,0,"Tableau, MLOps, Python",Bachelor,4,Real Estate,2025-02-08,2025-03-05,1506,7.5,Digital Transformation LLC,On-Site,25,100K-150K
AI00099,Machine Learning Researcher,92728,GBP,69546,Mid,Full-Time,United Kingdom,Large,United Kingdom,0,"NLP, Git, Kubernetes, Azure",Bachelor,4,Transportation,2024-12-25,2025-02-05,1948,9.3,Cognitive Computing,On-Site,42,60K-100K
AI00100,NLP Engineer,76826,SGD,99874,Junior,Part-Time,Singapore,Medium,Singapore,50,"Git, R, Statistics, PyTorch, Deep Learning",Bachelor,1,Government,2025-04-08,2025-05-10,804,7.4,Predictive Systems,Hybrid,32,60K-100K
AI00101,AI Consultant,48870,USD,48870,Senior,Part-Time,India,Large,India,0,"Hadoop, Java, Azure, Spark, Statistics",Associate,7,Healthcare,2025-03-26,2025-05-16,1108,5.6,Cognitive Computing,On-Site,51,< 60K
AI00102,Data Scientist,89527,AUD,120861,Mid,Full-Time,Australia,Large,United States,50,"Linux, Azure, SQL, R, Java",Master,4,Finance,2024-12-09,2024-12-30,1299,5.8,Predictive Systems,Hybrid,21,60K-100K
AI00103,Autonomous Systems Engineer,81103,AUD,109489,Junior,Contract,Australia,Large,Australia,0,"Mathematics, SQL, Kubernetes",Master,0,Media,2024-05-26,2024-08-07,2055,7.0,Digital Transformation LLC,On-Site,73,60K-100K
AI00104,Machine Learning Engineer,283428,USD,283428,Executive,Contract,Denmark,Large,Denmark,0,"Python, TensorFlow, MLOps, Data Visualization",Associate,13,Healthcare,2025-03-10,2025-05-11,1275,5.1,Smart Analytics,On-Site,62,> 150K
AI00105,AI Product Manager,104906,USD,104906,Mid,Freelance,United States,Small,Portugal,50,"PyTorch, Java, Spark, Statistics",Bachelor,3,Technology,2025-01-26,2025-03-28,2101,8.0,Cognitive Computing,Hybrid,61,100K-150K
AI00106,AI Software Engineer,231496,USD,231496,Executive,Part-Time,Finland,Large,Finland,50,"Tableau, R, Kubernetes",Master,18,Automotive,2025-02-13,2025-04-10,895,5.5,DataVision Ltd,Hybrid,56,> 150K
AI00107,Robotics Engineer,147402,JPY,16214220,Senior,Full-Time,Japan,Large,Japan,100,"Azure, GCP, Scala, R, Python",Bachelor,8,Automotive,2024-12-11,2025-02-01,593,7.0,Algorithmic Solutions,Remote,52,100K-150K
AI00108,Data Scientist,69331,EUR,58931,Junior,Full-Time,Austria,Large,Austria,100,"AWS, Git, NLP, Java, Computer Vision",Master,1,Healthcare,2025-04-11,2025-05-21,639,8.8,AI Innovations,Remote,40,60K-100K
AI00109,AI Consultant,215842,EUR,183466,Executive,Contract,France,Small,France,0,"Deep Learning, TensorFlow, Spark, Python",Bachelor,12,Healthcare,2024-12-19,2025-01-28,2098,6.7,Machine Intelligence Group,On-Site,40,> 150K
AI00110,Data Scientist,79833,USD,79833,Senior,Part-Time,South Korea,Small,South Korea,0,"Java, SQL, PyTorch, TensorFlow, AWS",PhD,6,Healthcare,2024-01-04,2024-01-18,1284,5.7,Predictive Systems,On-Site,14,60K-100K
AI00111,Data Scientist,304859,USD,304859,Executive,Full-Time,Norway,Large,Norway,100,"Linux, SQL, Mathematics",Bachelor,15,Media,2025-03-22,2025-05-05,2460,6.0,Advanced Robotics,Remote,44,> 150K
AI00112,Research Scientist,112217,EUR,95384,Senior,Contract,Germany,Small,Israel,0,"Spark, Scala, Azure",Associate,8,Technology,2025-03-07,2025-04-23,1679,10.0,Digital Transformation LLC,On-Site,47,100K-150K
AI00113,Head of AI,45738,USD,45738,Junior,Freelance,South Korea,Medium,South Korea,100,"TensorFlow, Hadoop, Spark",Associate,0,Manufacturing,2024-03-17,2024-04-05,1481,9.5,DeepTech Ventures,Remote,19,< 60K
AI00114,Machine Learning Researcher,195309,EUR,166013,Executive,Part-Time,Germany,Small,Germany,50,"SQL, Tableau, PyTorch, NLP",Bachelor,18,Consulting,2024-12-14,2025-02-23,1277,5.3,DeepTech Ventures,Hybrid,71,> 150K
